date,model,value,LB_50,UB_50,LB_75,UB_75,LB_95,UB_95
2024-01-01 00:00:00,Naive,2.4023,2.4023,2.4023,2.4023,2.4023,2.4023,2.4023
2024-02-01 00:00:00,Naive,2.4023,2.2183,2.5863,2.0885,2.7161,1.8676,2.937
2024-03-01 00:00:00,Naive,2.4023,2.1421,2.6625,1.9585,2.8461,1.6461,3.1585
2024-04-01 00:00:00,Naive,2.4023,2.0836,2.721,1.8587,2.9459,1.4761,3.3285
2024-05-01 00:00:00,Naive,2.4023,2.0343,2.7703,1.7746,3.03,1.3329,3.4717
2024-06-01 00:00:00,Naive,2.4023,1.9908,2.8138,1.7005,3.1041,1.2066,3.598
2024-07-01 00:00:00,Naive,2.4023,1.9516,2.853,1.6336,3.171,1.0925,3.7121
2024-08-01 00:00:00,Naive,2.4023,1.9154,2.8892,1.572,3.2326,0.9876,3.817
2024-09-01 00:00:00,Naive,2.4023,1.8818,2.9228,1.5146,3.29,0.8899,3.9147
2024-10-01 00:00:00,Naive,2.4023,1.8503,2.9543,1.4608,3.3438,0.7981,4.0065
2024-11-01 00:00:00,Naive,2.4023,1.8204,2.9842,1.4099,3.3947,0.7114,4.0932
2024-12-01 00:00:00,Naive,2.4023,1.792,3.0126,1.3614,3.4432,0.6288,4.1758
2025-01-01 00:00:00,Naive,2.4023,1.7649,3.0397,1.3151,3.4895,0.55,4.2546
2025-02-01 00:00:00,Naive,2.4023,1.7388,3.0658,1.2707,3.5339,0.4743,4.3303
2025-03-01 00:00:00,Naive,2.4023,1.7138,3.0908,1.228,3.5766,0.4016,4.403
2025-04-01 00:00:00,Naive,2.4023,1.6896,3.115,1.1868,3.6178,0.3313,4.4733
2025-05-01 00:00:00,Naive,2.4023,1.6662,3.1384,1.1469,3.6577,0.2634,4.5412
2025-06-01 00:00:00,Naive,2.4023,1.6436,3.161,1.1083,3.6963,0.1976,4.607
2025-07-01 00:00:00,Naive,2.4023,1.6216,3.183,1.0708,3.7338,0.1337,4.6709
